Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2019 [YR2019]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Denmark,DNK,10.9,9.3
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Djibouti,DJI,10.692,7.797
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Dominica,DMA,9.729,12.611
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Dominican Republic,DOM,5.557,6.132
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Ecuador,ECU,5.168,4.753
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Egypt, Arab Rep.",EGY,6.319,5.477
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,El Salvador,SLV,6.552,7.439
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Equatorial Guinea,GNQ,13.592,8.496
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Eritrea,ERI,11.145,6.413
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Estonia,EST,13.2,11.6
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Eswatini,SWZ,14.509,9.372
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Ethiopia,ETH,14.681,6.481
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Faroe Islands,FRO,7.8,8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Fiji,FJI,6.818,9.092
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Finland,FIN,9.5,9.8
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,France,FRA,8.9,9.1
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,French Polynesia,PYF,2.588,3.369
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Gabon,GAB,9.746,6.693
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Gambia, The",GMB,11.332,6.807
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Georgia,GEO,11.304,12.081
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Germany,DEU,10.2,11.3
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Ghana,GHA,9.991,7.34
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Gibraltar,GIB,7.423,6.811
